Category;Type;Position;Value;ChangeCount;LastModified
BOAT;AGIG;3;A-Gig;2;1610995148743
BOAT;BARQUE;9;Barke;2;1610995148744
BOAT;BGIG;4;B-Gig;2;1610995148743
BOAT;CGIG;5;C-Gig;2;1610995148743
BOAT;CHURCHBOAT;10;Kirchboot;2;1610995148744
BOAT;DGIG;6;D-Gig;2;1610995148744
BOAT;EGIG;7;E-Gig;2;1610995148744
BOAT;ERG;11;Ergo;2;1610995148744
BOAT;INRIGGER;8;Inrigger;2;1610995148744
BOAT;MOTORBOAT;12;Motorboot;4;1610995148749
BOAT;OTHER;13;andere;4;1610995148749
BOAT;RACING;0;Rennboot;2;1610995148743
BOAT;TRIMMY;2;Trimmy;2;1610995148743
BOAT;WHERRY;1;Wherry;2;1610995148743
COXING;COXED;0;mit Stm.;4;1610995148749
COXING;COXLESS;1;ohne Stm.;4;1610995148750
COXING;OTHER;2;andere;4;1610995148750
GENDER;FEMALE;1;weiblich;2;1610995148740
GENDER;MALE;0;männlich;2;1610995148730
NUMSEATS;1;0;Einer;4;1610995148748
NUMSEATS;2;1;Zweier;4;1610995148748
NUMSEATS;2X;2;Doppelzweier;2;1610995148745
NUMSEATS;3;3;Dreier;4;1610995148748
NUMSEATS;4;4;Vierer;4;1610995148749
NUMSEATS;4X;5;Doppelvierer;2;1610995148745
NUMSEATS;5;6;Fünfer;2;1610995148746
NUMSEATS;6;7;Sechser;2;1610995148746
NUMSEATS;6X;8;Doppelsechser;2;1610995148746
NUMSEATS;8;9;Achter;2;1610995148746
NUMSEATS;8X;10;Doppelachter;2;1610995148746
NUMSEATS;OTHER;11;andere;4;1610995148749
RIGGING;OTHER;2;andere;4;1610995148749
RIGGING;SCULL;0;Skull;2;1610995148746
RIGGING;SWEEP;1;Riemen;2;1610995148747
SESSION;ERG;5;Ergo;2;1610995148742
SESSION;LATEENTRY;3;Kilometernachtrag;2;1610995148742
SESSION;MOTORBOAT;4;Motorboot;2;1610995148742
SESSION;NORMAL;0;normale Fahrt;2;1610995148742
SESSION;REGATTA;2;Regatta;2;1610995148742
SESSION;TRAININGCAMP;1;Trainingslager;2;1610995148742
STATUS;GUEST;0;Gast;2;1610995148741
STATUS;OTHER;1;andere;2;1610995148741
